INFO - 2020-03-02 13:45:02,582 Admin exited out
INFO - 2020-03-02 13:46:02,584 Admin exited out
INFO - 2020-03-02 13:46:27,342 Admin exited out
INFO - 2020-03-02 13:48:03,249 Admin exited out
INFO - 2020-03-02 13:50:58,650 Admin exited out
INFO - 2020-03-02 13:56:05,661 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 13:56:08,533  exited out
INFO - 2020-03-02 13:56:56,146 Admin exited out
INFO - 2020-03-02 13:57:27,799 Admin exited out
INFO - 2020-03-02 13:58:27,728 Admin exited out
INFO - 2020-03-02 14:13:18,292 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:13:45,546  exited out
WARNING - 2020-03-02 14:19:58,741 Database directory not found!
INFO - 2020-03-02 14:19:58,741 Database directory created successfully!
WARNING - 2020-03-02 14:19:58,741 Database not found!
INFO - 2020-03-02 14:19:59,191 Database and tables created successfully!
INFO - 2020-03-02 14:20:05,952 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:20:09,922 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:25:18,928 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:25:25,274 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:26:40,417 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:26:42,441 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:26:54,832 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:26:58,050 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:27:07,640 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:27:38,001 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:31:20,456 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:32:54,008 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:33:04,984 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:33:07,309 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:40:53,857 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:43:03,797 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:43:08,427 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:43:46,013 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:43:58,818 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:44:27,077 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:44:32,137 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:44:52,813 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:45:07,039 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:46:48,373 Starting program USER: Neziswa Mutaurwa
INFO - 2020-03-02 14:46:50,911 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:48:03,630 Neziswa Mutaurwa logged out!
INFO - 2020-03-02 14:48:25,398 Neziswa Mutaurwa logged out!
